,sistema_costeiro,bioma,area,populacao,temp_media,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,n_pertence,mata_atlantica,535.682,6386,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.22,0.35,0.40,0.29,0.39,0.32,0.31,0.25
,n_pertence,mata_atlantica,63.883,3104,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.12,0.17,0.73,1.21,10.56
,n_pertence,mata_atlantica,54.811,1972,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.14,0.21,0.24,0.28,0.27
,n_pertence,mata_atlantica,79.333,7154,22.00,0.00,0.00,0.00,0.00,652.56,678.38,695.36,751.25,769.74,721.34,784.86,780.52,873.54,781.39,787.35
,Pertence,mata_atlantica,106.853,10225,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,557.82,600.73,531.36,543.92,568.70,592.70,569.67,603.12
,n_pertence,mata_atlantica,56.962,1606,22.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.75,0.87,2.51,2.47,4.83
,n_pertence,mata_atlantica,235.104,13080,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.90,0.99
,n_pertence,mata_atlantica,237.517,2534,23.00,38.26,39.91,38.87,42.30,41.60,50.49,77.86,92.89,73.81,61.12,60.73,68.84,55.11,65.73,78.60
,n_pertence,mata_atlantica,953.992,18015,23.00,349.76,363.92,393.16,440.36,448.21,468.99,513.52,537.68,584.71,573.37,611.20,615.97,636.16,611.19,724.71
,n_pertence,mata_atlantica,206.815,11160,23.00,296.29,302.11,345.08,357.97,425.90,436.09,466.73,531.15,550.36,546.67,577.52,575.63,626.06,602.34,630.83
,n_pertence,mata_atlantica,129.774,5570,23.00,93.32,86.25,97.41,114.82,119.71,131.43,144.76,165.22,179.47,188.06,189.98,201.42,223.33,231.69,249.63
,n_pertence,mata_atlantica,1319.137,7160,23.00,151.74,159.91,167.98,188.98,192.38,201.86,211.31,227.02,227.28,223.52,241.88,237.16,251.33,237.92,269.70
,n_pertence,mata_atlantica,139.511,6544,23.00,89.91,119.08,140.44,161.45,154.56,140.32,136.43,152.34,155.93,162.49,176.60,165.05,181.47,178.15,206.85
,n_pertence,mata_atlantica,76.631,2341,23.00,35.20,35.58,42.68,47.94,52.15,59.39,58.63,70.09,71.61,62.17,69.58,74.99,87.05,83.90,96.67
,n_pertence,mata_atlantica,326.660,6646,23.00,124.32,131.70,127.30,156.86,173.24,183.36,195.94,217.17,228.98,216.86,231.04,237.31,259.50,253.84,278.83
,n_pertence,mata_atlantica,733.489,10136,23.00,172.02,194.29,192.16,201.89,218.61,232.28,236.58,259.61,265.18,260.69,291.08,306.73,339.85,337.96,364.89
,n_pertence,mata_atlantica,103.433,1915,23.00,36.80,36.62,38.17,46.63,47.89,49.64,54.54,60.10,61.87,59.69,64.20,66.88,66.82,60.33,66.67
,n_pertence,mata_atlantica,232.348,5477,23.00,122.29,140.79,138.53,141.84,150.74,151.31,172.03,183.39,196.66,181.51,202.33,205.41,224.91,202.73,235.27
,n_pertence,mata_atlantica,499.998,4686,23.00,95.11,83.24,90.58,106.82,104.45,104.50,108.91,121.11,122.79,123.12,131.09,131.86,136.82,140.44,162.44
,n_pertence,mata_atlantica,589.812,6783,23.00,167.51,167.31,186.02,194.18,193.34,211.37,226.62,256.53,246.42,232.97,262.48,274.61,291.45,275.53,296.68
,n_pertence,mata_atlantica,540.636,3223,23.00,193.80,205.07,218.59,233.46,259.18,291.89,317.51,336.42,342.31,358.88,393.05,425.04,448.60,432.48,490.01
,n_pertence,mata_atlantica,234.422,8712,23.00,193.80,205.07,218.59,233.46,259.18,291.89,317.51,336.42,342.31,358.88,393.05,425.04,448.60,432.48,490.01
,n_pertence,mata_atlantica,493.490,10951,23.00,296.41,296.40,404.05,342.04,370.40,401.27,445.20,475.51,514.52,501.43,510.40,536.44,563.74,600.40,590.64
,n_pertence,mata_atlantica,132.779,4268,23.00,48.84,48.67,53.44,60.81,73.57,76.89,82.92,86.63,100.32,101.47,107.22,109.28,112.60,109.33,125.48
,Pertence,mata_atlantica,386.693,40890,23.00,811.53,831.12,962.35,1075.94,1210.83,1227.06,1407.00,1529.64,1601.73,1643.00,1597.73,1819.72,2011.52,2042.57,2285.05
,Pertence,mata_atlantica,301.819,69493,23.00,2641.02,2576.24,2726.53,2912.55,3100.60,3145.53,3261.07,3705.62,4003.08,3710.22,3837.42,3929.48,4248.30,4044.01,4415.70
,n_pertence,mata_atlantica,93.530,3547,23.00,102.71,106.08,110.66,126.22,132.80,134.03,148.77,164.41,169.93,161.61,169.59,168.81,173.78,168.44,191.45
,n_pertence,mata_atlantica,90.503,2228,23.00,18.63,20.80,25.30,29.49,27.87,30.56,37.89,44.03,44.41,46.23,51.28,54.14,53.32,52.83,55.55
,n_pertence,mata_atlantica,112.884,8021,23.00,321.43,335.02,378.76,386.18,425.74,455.12,466.68,494.59,524.25,519.59,518.12,525.62,533.80,537.58,567.86
,n_pertence,mata_atlantica,94.383,3179,23.00,66.68,70.51,79.51,84.57,102.57,95.38,105.02,111.28,115.69,123.49,126.50,125.05,125.51,123.38,128.59
,n_pertence,mata_atlantica,207.045,5687,23.00,93.08,90.79,105.80,120.57,116.94,136.07,143.30,156.22,174.73,188.14,188.73,204.33,221.11,227.13,253.93
,Pertence,mata_atlantica,94.477,13782,23.00,528.90,529.20,587.24,658.84,697.51,738.54,771.18,884.98,924.66,913.25,944.51,990.33,1094.27,1129.23,1245.81
,Pertence,mata_atlantica,108.914,11271,23.00,8882.10,9110.11,9697.96,10699.36,11430.45,9985.03,10354.98,10960.67,11318.68,11405.42,11951.00,11668.81,12424.25,12532.69,13193.44
,Pertence,mata_atlantica,45.214,149227,23.00,546.02,526.43,516.66,663.25,747.74,727.57,809.39,913.44,1070.27,1020.02,1044.08,1100.65,1180.11,1212.17,1369.67
